locus_tag	ftype	length_bp	gene	EC_number	COG	product
KDEIODNE_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
KDEIODNE_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
KDEIODNE_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
KDEIODNE_00004	CDS	516				hypothetical protein
KDEIODNE_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
KDEIODNE_00006	CDS	2517	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
KDEIODNE_00007	CDS	915				putative protein
KDEIODNE_00008	tRNA	75				tRNA-Ile(gat)
KDEIODNE_00009	tRNA	74				tRNA-Ala(tgc)
KDEIODNE_00010	CDS	108				hypothetical protein
KDEIODNE_00011	CDS	138				hypothetical protein
KDEIODNE_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
KDEIODNE_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
KDEIODNE_00014	CDS	153				hypothetical protein
KDEIODNE_00015	CDS	360				hypothetical protein
KDEIODNE_00016	CDS	282	crgA			Cell division protein CrgA
KDEIODNE_00017	CDS	744				hypothetical protein
KDEIODNE_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
KDEIODNE_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
KDEIODNE_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
KDEIODNE_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
KDEIODNE_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
KDEIODNE_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
KDEIODNE_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
KDEIODNE_00025	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
KDEIODNE_00026	tRNA	84				tRNA-Leu(cag)
KDEIODNE_00027	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
KDEIODNE_00028	CDS	420	whiB5			Transcriptional regulator WhiB5
KDEIODNE_00029	CDS	795			COG1396	putative HTH-type transcriptional regulator
KDEIODNE_00030	CDS	822				hypothetical protein
KDEIODNE_00031	CDS	363				putative protein
KDEIODNE_00032	CDS	1347				hypothetical protein
KDEIODNE_00033	CDS	318				hypothetical protein
KDEIODNE_00034	CDS	306				putative protein
KDEIODNE_00035	CDS	144				putative proteinA
KDEIODNE_00036	CDS	1098				hypothetical protein
KDEIODNE_00037	CDS	576				hypothetical protein
KDEIODNE_00038	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
KDEIODNE_00039	CDS	264	acpP			Acyl carrier protein
KDEIODNE_00040	CDS	396			COG3631	putative protein
KDEIODNE_00041	CDS	1764	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
KDEIODNE_00042	CDS	774				putative protein
KDEIODNE_00043	CDS	1311			COG0477	putative MFS-type transporter
KDEIODNE_00044	CDS	783				hypothetical protein
KDEIODNE_00045	CDS	348				hypothetical protein
KDEIODNE_00046	CDS	933				Proline-rich 28 kDa antigen
KDEIODNE_00047	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
KDEIODNE_00048	CDS	627				hypothetical protein
KDEIODNE_00049	CDS	735			COG1802	putative HTH-type transcriptional regulator
KDEIODNE_00050	CDS	795				hypothetical protein
