locus_tag	ftype	length_bp	gene	EC_number	COG	product
FOKLNMHI_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FOKLNMHI_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
FOKLNMHI_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
FOKLNMHI_00004	CDS	516				hypothetical protein
FOKLNMHI_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
FOKLNMHI_00006	CDS	2517	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
FOKLNMHI_00007	CDS	915				putative protein
FOKLNMHI_00008	tRNA	75				tRNA-Ile(gat)
FOKLNMHI_00009	tRNA	74				tRNA-Ala(tgc)
FOKLNMHI_00010	CDS	108				hypothetical protein
FOKLNMHI_00011	CDS	138				hypothetical protein
FOKLNMHI_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
FOKLNMHI_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FOKLNMHI_00014	CDS	153				hypothetical protein
FOKLNMHI_00015	CDS	360				hypothetical protein
FOKLNMHI_00016	CDS	282	crgA			Cell division protein CrgA
FOKLNMHI_00017	CDS	744				hypothetical protein
FOKLNMHI_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FOKLNMHI_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FOKLNMHI_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FOKLNMHI_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
FOKLNMHI_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
FOKLNMHI_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FOKLNMHI_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FOKLNMHI_00025	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
FOKLNMHI_00026	tRNA	85				tRNA-Leu(cag)
FOKLNMHI_00027	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FOKLNMHI_00028	CDS	420	whiB5			Transcriptional regulator WhiB5
FOKLNMHI_00029	CDS	771			COG1396	putative HTH-type transcriptional regulator
FOKLNMHI_00030	CDS	846				hypothetical protein
FOKLNMHI_00031	CDS	363				putative protein
FOKLNMHI_00032	CDS	1347				hypothetical protein
FOKLNMHI_00033	CDS	318				hypothetical protein
FOKLNMHI_00034	CDS	306				putative protein
FOKLNMHI_00035	CDS	144				putative proteinA
FOKLNMHI_00036	CDS	1098				hypothetical protein
FOKLNMHI_00037	CDS	330				putative protein
FOKLNMHI_00038	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
FOKLNMHI_00039	CDS	264	acpP			Acyl carrier protein
FOKLNMHI_00040	CDS	396			COG3631	putative protein
FOKLNMHI_00041	CDS	1764	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FOKLNMHI_00042	CDS	774				putative protein
FOKLNMHI_00043	CDS	1311			COG0477	putative MFS-type transporter
FOKLNMHI_00044	CDS	633				hypothetical protein
FOKLNMHI_00045	CDS	348				hypothetical protein
FOKLNMHI_00046	CDS	933				Proline-rich 28 kDa antigen
FOKLNMHI_00047	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FOKLNMHI_00048	CDS	627				hypothetical protein
FOKLNMHI_00049	CDS	735			COG1802	putative HTH-type transcriptional regulator
