locus_tag	ftype	length_bp	gene	EC_number	COG	product
OAEKAFIA_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OAEKAFIA_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
OAEKAFIA_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
OAEKAFIA_00004	CDS	516				hypothetical protein
OAEKAFIA_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
OAEKAFIA_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
OAEKAFIA_00007	CDS	198				hypothetical protein
OAEKAFIA_00008	CDS	639				putative protein
OAEKAFIA_00009	tRNA	75				tRNA-Ile(gat)
OAEKAFIA_00010	tRNA	74				tRNA-Ala(tgc)
OAEKAFIA_00011	CDS	108				hypothetical protein
OAEKAFIA_00012	CDS	138				hypothetical protein
OAEKAFIA_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
OAEKAFIA_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
OAEKAFIA_00015	CDS	153				hypothetical protein
OAEKAFIA_00016	CDS	360				hypothetical protein
OAEKAFIA_00017	CDS	282	crgA			Cell division protein CrgA
OAEKAFIA_00018	CDS	744				hypothetical protein
OAEKAFIA_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
OAEKAFIA_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
OAEKAFIA_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
OAEKAFIA_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
OAEKAFIA_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
OAEKAFIA_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
OAEKAFIA_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
OAEKAFIA_00026	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
OAEKAFIA_00027	tRNA	85				tRNA-Leu(cag)
OAEKAFIA_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
OAEKAFIA_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
OAEKAFIA_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
OAEKAFIA_00031	CDS	846				hypothetical protein
OAEKAFIA_00032	CDS	363				putative protein
OAEKAFIA_00033	CDS	1347				hypothetical protein
OAEKAFIA_00034	CDS	318				hypothetical protein
OAEKAFIA_00035	CDS	306				putative protein
OAEKAFIA_00036	CDS	144				putative proteinA
OAEKAFIA_00037	CDS	1098				hypothetical protein
OAEKAFIA_00038	CDS	330				putative protein
OAEKAFIA_00039	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
OAEKAFIA_00040	CDS	336	acpP			Acyl carrier protein
OAEKAFIA_00041	CDS	300			COG3631	putative protein
OAEKAFIA_00042	CDS	2034	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
OAEKAFIA_00043	CDS	546				hypothetical protein
OAEKAFIA_00044	CDS	1311			COG0477	putative MFS-type transporter
OAEKAFIA_00045	CDS	633				hypothetical protein
OAEKAFIA_00046	CDS	348				hypothetical protein
OAEKAFIA_00047	CDS	933				Proline-rich 28 kDa antigen
OAEKAFIA_00048	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
OAEKAFIA_00049	CDS	627				hypothetical protein
OAEKAFIA_00050	CDS	735			COG1802	putative HTH-type transcriptional regulator
OAEKAFIA_00051	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
OAEKAFIA_00052	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
OAEKAFIA_00053	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
OAEKAFIA_00054	CDS	543				hypothetical protein
OAEKAFIA_00055	CDS	870				putative protein
OAEKAFIA_00056	CDS	435				putative protein
OAEKAFIA_00057	CDS	2463	ponA1		COG0744	Penicillin-binding protein 1A
OAEKAFIA_00058	CDS	1683				hypothetical protein
OAEKAFIA_00059	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
OAEKAFIA_00060	CDS	405				hypothetical protein
OAEKAFIA_00061	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
OAEKAFIA_00062	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
OAEKAFIA_00063	CDS	459	rplI		COG0359	50S ribosomal protein L9
OAEKAFIA_00064	CDS	522				hypothetical protein
OAEKAFIA_00065	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
OAEKAFIA_00066	CDS	693				hypothetical protein
OAEKAFIA_00067	CDS	1059				hypothetical protein
OAEKAFIA_00068	CDS	366				hypothetical protein
OAEKAFIA_00069	CDS	288				hypothetical protein
OAEKAFIA_00070	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
OAEKAFIA_00071	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
OAEKAFIA_00072	CDS	156				hypothetical protein
OAEKAFIA_00073	CDS	2940				hypothetical protein
OAEKAFIA_00074	CDS	252				hypothetical protein
OAEKAFIA_00075	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
OAEKAFIA_00076	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
OAEKAFIA_00077	CDS	570				hypothetical protein
OAEKAFIA_00078	CDS	912				hypothetical protein
OAEKAFIA_00079	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
OAEKAFIA_00080	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
OAEKAFIA_00081	CDS	246				hypothetical protein
OAEKAFIA_00082	CDS	252				hypothetical protein
OAEKAFIA_00083	CDS	243				hypothetical protein
OAEKAFIA_00084	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
OAEKAFIA_00085	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
OAEKAFIA_00086	CDS	390				hypothetical protein
OAEKAFIA_00087	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
OAEKAFIA_00088	CDS	651				hypothetical protein
OAEKAFIA_00089	CDS	594				hypothetical protein
OAEKAFIA_00090	CDS	207				hypothetical protein
OAEKAFIA_00091	CDS	858				Dormancy associated translation inhibitor
OAEKAFIA_00092	CDS	459				putative protein
OAEKAFIA_00093	CDS	345			COG0640	putative HTH-type transcriptional regulator
OAEKAFIA_00094	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
OAEKAFIA_00095	CDS	1923	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
OAEKAFIA_00096	CDS	951	hycD		COG0650	Formate hydrogenlyase subunit 4
OAEKAFIA_00097	CDS	663				hypothetical protein
OAEKAFIA_00098	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
OAEKAFIA_00099	CDS	1476	hycE		COG3261	Formate hydrogenlyase subunit 5
OAEKAFIA_00100	CDS	693				putative protein
OAEKAFIA_00101	CDS	594	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
OAEKAFIA_00102	CDS	771			COG3305	putative protein
OAEKAFIA_00103	CDS	195				hypothetical protein
OAEKAFIA_00104	CDS	768	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
OAEKAFIA_00105	CDS	576				hypothetical protein
OAEKAFIA_00106	CDS	405				hypothetical protein
OAEKAFIA_00107	CDS	711			COG5660	putative protein
OAEKAFIA_00108	CDS	1392				hypothetical protein
OAEKAFIA_00109	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
OAEKAFIA_00110	CDS	552				putative protein
OAEKAFIA_00111	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
OAEKAFIA_00112	CDS	249				putative protein
OAEKAFIA_00113	CDS	708				hypothetical protein
OAEKAFIA_00114	CDS	552				hypothetical protein
OAEKAFIA_00115	CDS	876				hypothetical protein
OAEKAFIA_00116	CDS	780				hypothetical protein
OAEKAFIA_00117	CDS	258				hypothetical protein
OAEKAFIA_00118	CDS	90				hypothetical protein
OAEKAFIA_00119	CDS	327				hypothetical protein
OAEKAFIA_00120	CDS	420	car_1	1.2.1.-	COG1022	Carboxylic acid reductase
OAEKAFIA_00121	CDS	1986			COG3336	putative protein
OAEKAFIA_00122	CDS	225				hypothetical protein
OAEKAFIA_00123	CDS	351				hypothetical protein
OAEKAFIA_00124	CDS	585				hypothetical protein
OAEKAFIA_00125	CDS	1515				hypothetical protein
OAEKAFIA_00126	CDS	285				hypothetical protein
OAEKAFIA_00127	CDS	1197			COG0523	putative protein
OAEKAFIA_00128	CDS	4899	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
OAEKAFIA_00129	CDS	273				hypothetical protein
OAEKAFIA_00130	CDS	1602				hypothetical protein
OAEKAFIA_00131	CDS	855	glpG	3.4.21.105		Rhomboid protease GlpG
OAEKAFIA_00132	CDS	2016				hypothetical protein
OAEKAFIA_00133	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
