locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCAPFGBE_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BCAPFGBE_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
BCAPFGBE_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
BCAPFGBE_00004	CDS	516				hypothetical protein
BCAPFGBE_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
BCAPFGBE_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
BCAPFGBE_00007	CDS	915				putative protein
BCAPFGBE_00008	tRNA	75				tRNA-Ile(gat)
BCAPFGBE_00009	tRNA	74				tRNA-Ala(tgc)
BCAPFGBE_00010	CDS	108				hypothetical protein
BCAPFGBE_00011	CDS	138				hypothetical protein
BCAPFGBE_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
BCAPFGBE_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
BCAPFGBE_00014	CDS	153				hypothetical protein
BCAPFGBE_00015	CDS	360				hypothetical protein
BCAPFGBE_00016	CDS	282	crgA			Cell division protein CrgA
BCAPFGBE_00017	CDS	771				hypothetical protein
BCAPFGBE_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
BCAPFGBE_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
BCAPFGBE_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
BCAPFGBE_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
BCAPFGBE_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
BCAPFGBE_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
BCAPFGBE_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
BCAPFGBE_00025	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
BCAPFGBE_00026	tRNA	84				tRNA-Leu(cag)
BCAPFGBE_00027	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
BCAPFGBE_00028	CDS	420	whiB5			Transcriptional regulator WhiB5
BCAPFGBE_00029	CDS	771			COG1396	putative HTH-type transcriptional regulator
BCAPFGBE_00030	CDS	846				hypothetical protein
BCAPFGBE_00031	CDS	363				putative protein
BCAPFGBE_00032	CDS	1347				hypothetical protein
BCAPFGBE_00033	CDS	318				hypothetical protein
BCAPFGBE_00034	CDS	306				putative protein
BCAPFGBE_00035	CDS	144				putative proteinA
BCAPFGBE_00036	CDS	1098				hypothetical protein
BCAPFGBE_00037	CDS	330				putative protein
BCAPFGBE_00038	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
BCAPFGBE_00039	CDS	264	acpP			Acyl carrier protein
BCAPFGBE_00040	CDS	396			COG3631	putative protein
BCAPFGBE_00041	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
BCAPFGBE_00042	CDS	864				putative protein
BCAPFGBE_00043	CDS	1311			COG0477	putative MFS-type transporter
BCAPFGBE_00044	CDS	633				hypothetical protein
BCAPFGBE_00045	CDS	348				hypothetical protein
BCAPFGBE_00046	CDS	933				Proline-rich 28 kDa antigen
BCAPFGBE_00047	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
BCAPFGBE_00048	CDS	627				hypothetical protein
BCAPFGBE_00049	CDS	735			COG1802	putative HTH-type transcriptional regulator
BCAPFGBE_00050	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
BCAPFGBE_00051	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
BCAPFGBE_00052	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
BCAPFGBE_00053	CDS	543				hypothetical protein
BCAPFGBE_00054	CDS	870				putative protein
BCAPFGBE_00055	CDS	435				putative protein
BCAPFGBE_00056	CDS	2463	ponA1		COG0744	Penicillin-binding protein 1A
BCAPFGBE_00057	CDS	1683				hypothetical protein
BCAPFGBE_00058	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
BCAPFGBE_00059	CDS	291	rpsF		COG0360	30S ribosomal protein S6
BCAPFGBE_00060	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
