locus_tag	ftype	length_bp	gene	EC_number	COG	product
GHDAHHNE_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GHDAHHNE_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
GHDAHHNE_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
GHDAHHNE_00004	CDS	516				hypothetical protein
GHDAHHNE_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
GHDAHHNE_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
GHDAHHNE_00007	tRNA	75				tRNA-Ile(gat)
GHDAHHNE_00008	tRNA	74				tRNA-Ala(tgc)
GHDAHHNE_00009	CDS	108				hypothetical protein
GHDAHHNE_00010	CDS	138				hypothetical protein
GHDAHHNE_00011	CDS	438	cwsA			Cell wall synthesis protein CwsA
GHDAHHNE_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
GHDAHHNE_00013	CDS	153				hypothetical protein
GHDAHHNE_00014	CDS	360				hypothetical protein
GHDAHHNE_00015	CDS	282	crgA			Cell division protein CrgA
GHDAHHNE_00016	CDS	744				hypothetical protein
GHDAHHNE_00017	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
GHDAHHNE_00018	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
GHDAHHNE_00019	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
GHDAHHNE_00020	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
GHDAHHNE_00021	CDS	1410	rodA		COG0772	putative FtsW-like protein
GHDAHHNE_00022	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
GHDAHHNE_00023	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
GHDAHHNE_00024	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
GHDAHHNE_00025	tRNA	85				tRNA-Leu(cag)
GHDAHHNE_00026	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
GHDAHHNE_00027	CDS	420	whiB5			Transcriptional regulator WhiB5
GHDAHHNE_00028	CDS	771			COG1396	putative HTH-type transcriptional regulator
GHDAHHNE_00029	CDS	846				hypothetical protein
GHDAHHNE_00030	CDS	363				putative protein
GHDAHHNE_00031	CDS	1347				hypothetical protein
GHDAHHNE_00032	CDS	318				hypothetical protein
GHDAHHNE_00033	CDS	306				putative protein
GHDAHHNE_00034	CDS	144				putative proteinA
GHDAHHNE_00035	CDS	1098				hypothetical protein
GHDAHHNE_00036	CDS	330				putative protein
GHDAHHNE_00037	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
GHDAHHNE_00038	CDS	264	acpP			Acyl carrier protein
GHDAHHNE_00039	CDS	396			COG3631	putative protein
GHDAHHNE_00040	CDS	2034	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
GHDAHHNE_00041	CDS	546				hypothetical protein
GHDAHHNE_00042	CDS	1311			COG0477	putative MFS-type transporter
GHDAHHNE_00043	CDS	633				hypothetical protein
GHDAHHNE_00044	CDS	348				hypothetical protein
GHDAHHNE_00045	CDS	933				Proline-rich 28 kDa antigen
GHDAHHNE_00046	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
GHDAHHNE_00047	CDS	627				hypothetical protein
GHDAHHNE_00048	CDS	735			COG1802	putative HTH-type transcriptional regulator
GHDAHHNE_00049	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
GHDAHHNE_00050	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
GHDAHHNE_00051	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
GHDAHHNE_00052	CDS	543				hypothetical protein
GHDAHHNE_00053	CDS	870				putative protein
GHDAHHNE_00054	CDS	435				putative protein
GHDAHHNE_00055	CDS	2463	ponA1		COG0744	Penicillin-binding protein 1A
GHDAHHNE_00056	CDS	1683				hypothetical protein
GHDAHHNE_00057	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
GHDAHHNE_00058	CDS	291	rpsF		COG0360	30S ribosomal protein S6
GHDAHHNE_00059	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
GHDAHHNE_00060	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
GHDAHHNE_00061	CDS	459	rplI		COG0359	50S ribosomal protein L9
GHDAHHNE_00062	CDS	522				hypothetical protein
GHDAHHNE_00063	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
GHDAHHNE_00064	CDS	693				hypothetical protein
GHDAHHNE_00065	CDS	1059				hypothetical protein
GHDAHHNE_00066	CDS	339				hypothetical protein
GHDAHHNE_00067	CDS	288				hypothetical protein
GHDAHHNE_00068	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
GHDAHHNE_00069	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
GHDAHHNE_00070	CDS	156				hypothetical protein
GHDAHHNE_00071	CDS	2940				hypothetical protein
GHDAHHNE_00072	CDS	240				hypothetical protein
GHDAHHNE_00073	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
GHDAHHNE_00074	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
GHDAHHNE_00075	CDS	570				hypothetical protein
GHDAHHNE_00076	CDS	912				hypothetical protein
GHDAHHNE_00077	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
GHDAHHNE_00078	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
GHDAHHNE_00079	CDS	246				hypothetical protein
GHDAHHNE_00080	CDS	252				hypothetical protein
GHDAHHNE_00081	CDS	243				hypothetical protein
GHDAHHNE_00082	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
GHDAHHNE_00083	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
GHDAHHNE_00084	CDS	390				hypothetical protein
GHDAHHNE_00085	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
GHDAHHNE_00086	CDS	651				hypothetical protein
GHDAHHNE_00087	CDS	594				hypothetical protein
GHDAHHNE_00088	CDS	207				hypothetical protein
GHDAHHNE_00089	CDS	822				Dormancy associated translation inhibitor
GHDAHHNE_00090	CDS	459				putative protein
GHDAHHNE_00091	CDS	345			COG0640	putative HTH-type transcriptional regulator
GHDAHHNE_00092	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
GHDAHHNE_00093	CDS	1923	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
GHDAHHNE_00094	CDS	951	hycD		COG0650	Formate hydrogenlyase subunit 4
