locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCJKCCAO_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FCJKCCAO_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
FCJKCCAO_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
FCJKCCAO_00004	CDS	516				hypothetical protein
FCJKCCAO_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
FCJKCCAO_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
FCJKCCAO_00007	CDS	915				putative protein
FCJKCCAO_00008	tRNA	75				tRNA-Ile(gat)
FCJKCCAO_00009	tRNA	74				tRNA-Ala(tgc)
FCJKCCAO_00010	CDS	108				hypothetical protein
FCJKCCAO_00011	CDS	138				hypothetical protein
FCJKCCAO_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
FCJKCCAO_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FCJKCCAO_00014	CDS	153				hypothetical protein
FCJKCCAO_00015	CDS	360				hypothetical protein
FCJKCCAO_00016	CDS	282	crgA			Cell division protein CrgA
FCJKCCAO_00017	CDS	744				hypothetical protein
FCJKCCAO_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FCJKCCAO_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FCJKCCAO_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FCJKCCAO_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
FCJKCCAO_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
FCJKCCAO_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FCJKCCAO_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FCJKCCAO_00025	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
FCJKCCAO_00026	tRNA	85				tRNA-Leu(cag)
FCJKCCAO_00027	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FCJKCCAO_00028	CDS	420	whiB5			Transcriptional regulator WhiB5
FCJKCCAO_00029	CDS	771			COG1396	putative HTH-type transcriptional regulator
FCJKCCAO_00030	CDS	846				hypothetical protein
FCJKCCAO_00031	CDS	363				putative protein
FCJKCCAO_00032	CDS	1347				hypothetical protein
FCJKCCAO_00033	CDS	318				hypothetical protein
FCJKCCAO_00034	CDS	306				putative protein
FCJKCCAO_00035	CDS	144				putative proteinA
FCJKCCAO_00036	CDS	1098				hypothetical protein
FCJKCCAO_00037	CDS	330				putative protein
FCJKCCAO_00038	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
FCJKCCAO_00039	CDS	264	acpP			Acyl carrier protein
FCJKCCAO_00040	CDS	396			COG3631	putative protein
FCJKCCAO_00041	CDS	2034	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FCJKCCAO_00042	CDS	546				hypothetical protein
FCJKCCAO_00043	CDS	1311			COG0477	putative MFS-type transporter
FCJKCCAO_00044	CDS	633				hypothetical protein
FCJKCCAO_00045	CDS	348				hypothetical protein
FCJKCCAO_00046	CDS	933				Proline-rich 28 kDa antigen
FCJKCCAO_00047	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FCJKCCAO_00048	CDS	627				hypothetical protein
FCJKCCAO_00049	CDS	735			COG1802	putative HTH-type transcriptional regulator
FCJKCCAO_00050	CDS	783	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
FCJKCCAO_00051	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
FCJKCCAO_00052	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
FCJKCCAO_00053	CDS	543				hypothetical protein
FCJKCCAO_00054	CDS	870				putative protein
FCJKCCAO_00055	CDS	435				putative protein
FCJKCCAO_00056	CDS	2463	ponA1		COG0744	Penicillin-binding protein 1A
FCJKCCAO_00057	CDS	1683				hypothetical protein
FCJKCCAO_00058	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
FCJKCCAO_00059	CDS	291	rpsF		COG0360	30S ribosomal protein S6
FCJKCCAO_00060	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
FCJKCCAO_00061	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
FCJKCCAO_00062	CDS	459	rplI		COG0359	50S ribosomal protein L9
FCJKCCAO_00063	CDS	522				hypothetical protein
FCJKCCAO_00064	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FCJKCCAO_00065	CDS	693				hypothetical protein
FCJKCCAO_00066	CDS	1059				hypothetical protein
FCJKCCAO_00067	CDS	339				hypothetical protein
FCJKCCAO_00068	CDS	288				hypothetical protein
FCJKCCAO_00069	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
FCJKCCAO_00070	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
FCJKCCAO_00071	CDS	156				hypothetical protein
FCJKCCAO_00072	CDS	2940				hypothetical protein
FCJKCCAO_00073	CDS	240				hypothetical protein
FCJKCCAO_00074	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
FCJKCCAO_00075	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
FCJKCCAO_00076	CDS	570				hypothetical protein
FCJKCCAO_00077	CDS	912				hypothetical protein
FCJKCCAO_00078	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
FCJKCCAO_00079	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
FCJKCCAO_00080	CDS	246				hypothetical protein
FCJKCCAO_00081	CDS	252				hypothetical protein
FCJKCCAO_00082	CDS	243				hypothetical protein
FCJKCCAO_00083	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
FCJKCCAO_00084	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
FCJKCCAO_00085	CDS	390				hypothetical protein
FCJKCCAO_00086	CDS	831	oleB_1	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
FCJKCCAO_00087	CDS	651				hypothetical protein
FCJKCCAO_00088	CDS	594				hypothetical protein
FCJKCCAO_00089	CDS	207				hypothetical protein
FCJKCCAO_00090	CDS	858				Dormancy associated translation inhibitor
FCJKCCAO_00091	CDS	459				putative protein
FCJKCCAO_00092	CDS	345			COG0640	putative HTH-type transcriptional regulator
FCJKCCAO_00093	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
FCJKCCAO_00094	CDS	1923	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
FCJKCCAO_00095	CDS	951	hycD		COG0650	Formate hydrogenlyase subunit 4
FCJKCCAO_00096	CDS	663				hypothetical protein
FCJKCCAO_00097	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FCJKCCAO_00098	CDS	1476	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
FCJKCCAO_00099	CDS	693				putative protein
FCJKCCAO_00100	CDS	594	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FCJKCCAO_00101	CDS	771			COG3305	putative protein
FCJKCCAO_00102	CDS	195				hypothetical protein
FCJKCCAO_00103	CDS	768	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
FCJKCCAO_00104	CDS	576				hypothetical protein
FCJKCCAO_00105	CDS	405				hypothetical protein
FCJKCCAO_00106	CDS	711			COG5660	putative protein
FCJKCCAO_00107	CDS	1392				hypothetical protein
FCJKCCAO_00108	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
FCJKCCAO_00109	CDS	552				putative protein
FCJKCCAO_00110	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
FCJKCCAO_00111	CDS	249				putative protein
FCJKCCAO_00112	CDS	708				hypothetical protein
FCJKCCAO_00113	CDS	552				hypothetical protein
FCJKCCAO_00114	CDS	876				hypothetical protein
FCJKCCAO_00115	CDS	780				hypothetical protein
FCJKCCAO_00116	CDS	258				hypothetical protein
FCJKCCAO_00117	CDS	90				hypothetical protein
FCJKCCAO_00118	CDS	327				hypothetical protein
FCJKCCAO_00119	CDS	420	car_1	1.2.1.-	COG1022	Carboxylic acid reductase
FCJKCCAO_00120	CDS	1986			COG3336	putative protein
FCJKCCAO_00121	CDS	225				hypothetical protein
FCJKCCAO_00122	CDS	222				hypothetical protein
FCJKCCAO_00123	CDS	669				hypothetical protein
FCJKCCAO_00124	CDS	1515				hypothetical protein
FCJKCCAO_00125	CDS	285				hypothetical protein
FCJKCCAO_00126	CDS	1197			COG0523	putative protein
FCJKCCAO_00127	CDS	4899	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
FCJKCCAO_00128	CDS	273				hypothetical protein
FCJKCCAO_00129	CDS	1602				hypothetical protein
FCJKCCAO_00130	CDS	855	glpG	3.4.21.105		Rhomboid protease GlpG
FCJKCCAO_00131	CDS	2058				hypothetical protein
FCJKCCAO_00132	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
FCJKCCAO_00133	CDS	624	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
FCJKCCAO_00134	CDS	654	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
FCJKCCAO_00135	CDS	1161	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
FCJKCCAO_00136	CDS	189				hypothetical protein
FCJKCCAO_00137	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
FCJKCCAO_00138	CDS	945	oxyR			putative hydrogen peroxide-inducible genes activator
FCJKCCAO_00139	CDS	1749	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
FCJKCCAO_00140	CDS	1629	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
FCJKCCAO_00141	CDS	2145			COG0480	Elongation factor G-like protein
FCJKCCAO_00142	CDS	435				hypothetical protein
FCJKCCAO_00143	CDS	183				hypothetical protein
FCJKCCAO_00144	CDS	369				hypothetical protein
FCJKCCAO_00145	CDS	276				hypothetical protein
FCJKCCAO_00146	CDS	531				hypothetical protein
FCJKCCAO_00147	CDS	1068				hypothetical protein
FCJKCCAO_00148	CDS	210				hypothetical protein
FCJKCCAO_00149	CDS	672				hypothetical protein
FCJKCCAO_00150	CDS	1179	mak	2.7.1.175	COG3281	Maltokinase
FCJKCCAO_00151	CDS	780				hypothetical protein
FCJKCCAO_00152	CDS	1023	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
FCJKCCAO_00153	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
FCJKCCAO_00154	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
FCJKCCAO_00155	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
FCJKCCAO_00156	CDS	606				hypothetical protein
FCJKCCAO_00157	CDS	903		3.3.2.10		Soluble epoxide hydrolase
FCJKCCAO_00158	CDS	606				hypothetical protein
FCJKCCAO_00159	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
FCJKCCAO_00160	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
FCJKCCAO_00161	CDS	504				hypothetical protein
FCJKCCAO_00162	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
FCJKCCAO_00163	CDS	381				hypothetical protein
FCJKCCAO_00164	CDS	411				hypothetical protein
FCJKCCAO_00165	CDS	927				hypothetical protein
FCJKCCAO_00166	CDS	1479	clcB			Voltage-gated ClC-type chloride channel ClcB
FCJKCCAO_00167	CDS	843				hypothetical protein
FCJKCCAO_00168	CDS	954		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
FCJKCCAO_00169	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
FCJKCCAO_00170	CDS	1521	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
FCJKCCAO_00171	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
FCJKCCAO_00172	CDS	969		1.3.1.103		2-haloacrylate reductase
FCJKCCAO_00173	CDS	288				hypothetical protein
FCJKCCAO_00174	CDS	1767				hypothetical protein
FCJKCCAO_00175	CDS	1473				hypothetical protein
FCJKCCAO_00176	CDS	225				putative PE-PGRS family protein PE_PGRS24
FCJKCCAO_00177	CDS	831				hypothetical protein
FCJKCCAO_00178	CDS	1212	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
FCJKCCAO_00179	CDS	1101	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
FCJKCCAO_00180	CDS	333				hypothetical protein
FCJKCCAO_00181	CDS	1428	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
FCJKCCAO_00182	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
FCJKCCAO_00183	CDS	1407	PE3_1			PE family protein PE3
FCJKCCAO_00184	CDS	1566	PE3_2			PE family protein PE3
